zip,place,total_pop,cases,deaths,note
27601,Raleigh,12139,167,2,
27603,Raleigh,55479,1069,5,
27604,Raleigh,47645,1217,26,
27605,Raleigh,5253,109,3,
27606,Raleigh,47938,868,2,
27607,Raleigh,30296,654,3,
27608,Raleigh,11603,167,1,
27609,Raleigh,38631,719,12,
27610,Raleigh,74203,2469,43,
27612,Raleigh,39208,539,6,
27613,Raleigh,46521,522,7,
27614,Raleigh,37689,412,8,
27615,Raleigh,46038,650,20,
27616,Raleigh,55260,1196,7,
27617,Raleigh,19511,240,1,
27701,Durham,26489,671,6,
27703,Durham,61351,1693,9,
27704,Durham,39369,1571,18,
27705,Durham,48078,1326,44,
27706,Durham,10,,,Population <500 and Cases <5
27707,Durham,47036,1157,5,
27708,Durham,4635,6,0,
27709,Durham,4,21,0,
27710,Durham,0,,,Population <500 and Cases <5
27711,Durham,62,,,Population <500 and Cases <5
27712,Durham,22055,416,21,
27713,Durham,53996,820,5,
27801,Rocky Mount,21556,522,14,
27803,Rocky Mount,22337,458,7,
27804,Rocky Mount,29160,779,21,
27805,Aulander,3769,98,0,
27806,Aurora,2441,21,0,
27807,Bailey,6940,238,3,
27808,Bath,2481,35,1,
27809,Battleboro,5254,138,2,
27810,Belhaven,4224,47,0,
27812,Bethel,2951,61,0,
27813,Black Creek,687,4,0,
27814,Blounts Creek,1801,23,0,
27816,Castalia,2634,59,0,
27817,Chocowinity,7777,140,2,
27818,Como,1269,42,0,
27820,Conway,3292,44,2,
27821,Edward,343,,,Population <500 and Cases <5
27822,Elm City,9119,198,3,
27823,Enfield,7812,162,1,
27824,Engelhard,1540,24,0,
27826,Fairfield,1245,35,2,
27827,Falkland,99,6,0,
27828,Farmville,9031,163,2,
27829,Fountain,1872,32,1,
27830,Fremont,4858,86,1,
27831,Garysburg,3588,79,1,
27832,Gaston,2912,83,0,
27834,Greenville,57505,1539,11,
27837,Grimesland,6506,106,1,
27839,Halifax,3702,40,0,
27840,Hamilton,535,24,2,
27841,Hassell,84,,,Population <500 and Cases <5
27842,Henrico,1436,13,0,
27843,Hobgood,946,24,0,
27844,Hollister,3039,76,1,
27845,Jackson,2841,25,0,
27846,Jamesville,3069,50,1,
27847,Kelford,1071,22,0,
